id,nome,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,cluster,perfil_nutricional,objetivo_nutricional
62, Polenta pré-cozida,72.7,103.0,430.0,2.3,0.3,76.5,23.3,2.4,1.4,1.0,4.0,3,Leves / Baixa caloria,Equilibrado
63, Torrada pão francês,9.0,377.0,1579.0,10.5,3.3,76.5,74.6,3.4,2.6,19.0,32.0,1,Alta Energia/Carbo,Equilibrado
64, Abóbora cabotian cozida,86.4,48.0,201.0,1.4,0.7,76.5,10.8,2.5,0.7,8.0,9.0,3,Leves / Baixa caloria,Equilibrado
68, Abóbora moranga refogada,92.5,29.0,121.0,0.4,0.8,76.5,6.0,1.5,0.4,19.0,7.0,3,Leves / Baixa caloria,Equilibrado
70, Abobrinha italiana cozida,95.3,15.0,63.0,1.1,0.2,76.5,3.0,1.6,0.4,17.0,17.0,3,Leves / Baixa caloria,Equilibrado
72, Abobrinha italiana refogada,93.5,24.0,102.0,1.1,0.8,76.5,4.2,1.4,0.4,21.0,13.0,3,Leves / Baixa caloria,Equilibrado
85, Almeirão refogado,86.5,65.0,272.0,1.7,4.8,76.5,5.7,3.4,1.2,63.0,17.0,3,Leves / Baixa caloria,Diabetes
86, Batata baroa cozida,79.3,80.0,335.0,0.9,0.2,76.5,18.9,1.8,0.8,12.0,8.0,3,Leves / Baixa caloria,Equilibrado
88, Batata doce cozida,80.4,77.0,321.0,0.6,0.1,76.5,18.4,2.2,0.4,17.0,11.0,3,Leves / Baixa caloria,Equilibrado
90, Batata frita tipo chips industrializada,2.7,543.0,2271.0,5.6,36.6,76.5,51.2,2.5,3.9,12.0,24.0,1,Alta Energia/Carbo,Equilibrado
91, Batata inglesa cozida,86.4,52.0,216.0,1.2,5.8,76.5,11.9,1.3,0.5,4.0,5.0,3,Leves / Baixa caloria,Equilibrado
93, Batata inglesa frita,44.1,267.0,1118.0,5.0,13.1,76.5,35.6,8.1,2.2,6.0,14.0,2,Alimentos em Fibras,Equilibrado
94, Batata inglesa sauté,83.1,68.0,284.0,1.3,0.9,76.5,14.1,1.4,0.6,4.0,6.0,3,Leves / Baixa caloria,Equilibrado
95, Berinjela cozida,94.4,19.0,79.0,0.7,0.1,76.5,4.5,2.5,0.3,11.0,9.0,3,Leves / Baixa caloria,Equilibrado
97, Beterraba cozida,90.6,32.0,135.0,1.3,0.1,76.5,7.2,1.9,0.8,15.0,17.0,3,Leves / Baixa caloria,Equilibrado
99, Biscoito polvilho doce,5.4,438.0,1831.0,1.3,12.2,9.0,80.5,1.2,0.5,30.0,6.0,1,Alta Energia/Carbo,Equilibrado
100, Brócolis cozido,92.6,25.0,103.0,2.1,0.5,76.5,4.4,3.4,0.4,51.0,15.0,3,Leves / Baixa caloria,Diabetes
102, Cará cozido,78.9,78.0,325.0,1.5,0.1,76.5,18.9,2.6,0.6,5.0,15.0,3,Leves / Baixa caloria,Equilibrado
106, Catalonha refogada,87.4,63.0,265.0,2.0,4.8,76.5,4.8,3.7,1.0,63.0,16.0,3,Leves / Baixa caloria,Diabetes
109, Cenoura cozida,91.7,30.0,125.0,0.8,0.2,76.5,6.7,2.6,0.6,26.0,14.0,3,Leves / Baixa caloria,Equilibrado
112, Chuchu cozido,94.6,19.0,78.0,0.4,5.8,76.5,4.8,1.0,0.2,8.0,7.0,3,Leves / Baixa caloria,Equilibrado
114, Coentro folhas desidratadas,10.6,309.0,1293.0,20.9,10.4,76.5,48.0,37.3,10.2,784.0,393.0,2,Alimentos em Fibras,Ganho de Massa Muscular
116, Couve manteiga refogada ,81.5,90.0,378.0,1.7,6.6,76.5,8.7,5.7,1.5,177.0,26.0,3,Leves / Baixa caloria,Diabetes
118, Couve-flor cozida,94.3,19.0,80.0,1.2,0.3,76.5,3.9,2.1,0.3,16.0,5.0,3,Leves / Baixa caloria,Equilibrado
120, Espinafre Nova Zelândia refogado,86.6,67.0,281.0,2.7,5.4,76.5,4.2,2.5,1.0,112.0,123.0,3,Leves / Baixa caloria,Equilibrado
122, Farinha de mandioca torrada,8.3,365.0,1528.0,1.2,0.3,76.5,89.2,6.5,1.0,76.0,40.0,1,Alta Energia/Carbo,Equilibrado
123, Farinha de puba,9.8,360.0,1507.0,1.6,0.5,76.5,87.3,4.2,0.8,41.0,27.0,1,Alta Energia/Carbo,Equilibrado
124, Fécula de mandioca,17.8,331.0,1384.0,0.5,0.3,76.5,81.1,0.6,0.3,12.0,3.0,1,Alta Energia/Carbo,Equilibrado
129, Mandioca cozida,68.7,125.0,524.0,0.6,0.3,76.5,30.1,1.6,0.4,19.0,27.0,3,Leves / Baixa caloria,Equilibrado
131, Mandioca farofa temperada,6.4,406.0,1697.0,2.1,9.1,76.5,80.3,7.8,2.1,66.0,34.0,1,Alta Energia/Carbo,Equilibrado
132, Mandioca frita,36.6,300.0,1255.0,1.4,11.2,76.5,50.3,1.9,0.6,23.0,95.0,1,Alta Energia/Carbo,Equilibrado
136, Nhoque batata cozido,55.0,181.0,756.0,5.9,1.9,15.0,36.8,1.8,0.5,11.0,18.0,3,Leves / Baixa caloria,Equilibrado
138, Palmito juçara em conserva,91.4,23.0,97.0,1.8,0.4,76.5,4.3,3.2,2.1,58.0,34.0,3,Leves / Baixa caloria,Diabetes
139, Palmito pupunha em conserva,89.4,29.0,123.0,2.5,0.5,76.5,5.5,2.6,2.1,32.0,25.0,3,Leves / Baixa caloria,Equilibrado
140, Pão de queijo assado,33.7,363.0,1519.0,5.1,24.6,68.0,34.2,0.6,2.3,102.0,8.0,1,Alta Energia/Carbo,Equilibrado
146, Polvilho doce,12.6,351.0,1470.0,0.4,5.8,76.5,86.8,0.2,0.2,27.0,4.0,1,Alta Energia/Carbo,Equilibrado
151, Repolho roxo refogado,88.7,42.0,175.0,1.8,1.2,76.5,7.6,1.8,0.7,43.0,17.0,3,Leves / Baixa caloria,Equilibrado
154, Seleta de legumes enlatada,82.1,57.0,237.0,3.4,0.4,76.5,12.7,3.1,1.4,16.0,16.0,3,Leves / Baixa caloria,Diabetes
158, Tomate extrato,79.7,61.0,255.0,2.4,0.2,76.5,15.0,2.8,2.8,29.0,29.0,3,Leves / Baixa caloria,Equilibrado
159, Tomate molho industrializado,88.1,38.0,161.0,1.4,0.9,76.5,7.7,3.1,1.9,12.0,17.0,3,Leves / Baixa caloria,Diabetes
160, Tomate purê,90.8,28.0,117.0,1.4,5.8,76.5,6.9,1.0,1.0,13.0,15.0,3,Leves / Baixa caloria,Equilibrado
161, Tomate salada,93.6,21.0,86.0,0.8,5.8,76.5,5.1,2.3,0.4,7.0,10.0,3,Leves / Baixa caloria,Equilibrado
165, Abacaxi polpa congelada,91.3,31.0,128.0,0.5,0.1,76.5,7.8,0.3,0.3,14.0,10.0,3,Leves / Baixa caloria,Equilibrado
167, Açaí polpa com xarope de guaraná e glucose,73.9,110.0,461.0,0.7,3.7,76.5,21.5,1.7,0.3,22.0,13.0,3,Leves / Baixa caloria,Equilibrado
168, Açaí polpa congelada,88.7,58.0,243.0,0.8,3.9,76.5,6.2,2.6,0.3,35.0,17.0,3,Leves / Baixa caloria,Equilibrado
170, Acerola polpa congelada,93.6,22.0,92.0,0.6,5.8,76.5,5.5,0.7,0.3,8.0,9.0,3,Leves / Baixa caloria,Equilibrado
171, Ameixa calda enlatada ,52.2,183.0,765.0,0.4,5.8,76.5,46.9,0.5,0.5,13.0,10.0,3,Leves / Baixa caloria,Equilibrado
173, Ameixa em calda enlatada drenada ,50.3,177.0,742.0,1.0,0.3,76.5,47.7,4.5,0.7,39.0,14.0,3,Leves / Baixa caloria,Emagrecimento
176, Banana doce em barra,21.1,280.0,1172.0,2.2,0.1,76.5,75.7,3.8,1.0,12.0,49.0,1,Alta Energia/Carbo,Equilibrado
185, Cajá polpa congelada,92.4,26.0,110.0,0.6,0.2,76.5,6.4,1.4,0.4,9.0,7.0,3,Leves / Baixa caloria,Equilibrado
187, Caju polpa congelada,89.8,37.0,153.0,0.5,0.2,76.5,9.4,0.8,0.2,1.0,7.0,3,Leves / Baixa caloria,Equilibrado
188, Caju suco concentrado envasado,88.4,45.0,189.0,0.4,0.2,76.5,10.7,0.6,0.3,1.0,8.0,3,Leves / Baixa caloria,Equilibrado
193, Cupuaçu polpa congelada,86.6,49.0,204.0,0.8,0.6,76.5,11.4,1.6,0.6,5.0,14.0,3,Leves / Baixa caloria,Equilibrado
195, Figo enlatado em calda,48.8,184.0,771.0,0.6,0.2,76.5,50.3,2.0,0.2,33.0,7.0,3,Leves / Baixa caloria,Equilibrado
198, Goiaba doce em pasta,24.8,269.0,1125.0,0.6,0.0,76.5,74.1,3.7,0.5,10.0,6.0,1,Alta Energia/Carbo,Equilibrado
199, Goiaba doce cascão,20.3,286.0,1195.0,0.4,0.1,76.5,78.7,4.4,0.5,15.0,10.0,1,Alta Energia/Carbo,Equilibrado
202, Graviola polpa congelada,89.2,38.0,160.0,0.6,0.1,76.5,9.8,1.2,0.4,6.0,10.0,3,Leves / Baixa caloria,Equilibrado
209, Laranja baía suco,90.2,37.0,153.0,0.7,5.8,76.5,8.7,2.2,0.4,6.0,8.0,3,Leves / Baixa caloria,Equilibrado
211, Laranja da terra suco,89.2,41.0,171.0,0.7,0.1,76.5,9.6,1.0,0.4,13.0,10.0,3,Leves / Baixa caloria,Equilibrado
213, Laranja lima suco,89.7,39.0,165.0,0.7,0.1,76.5,9.2,0.4,0.3,8.0,11.0,3,Leves / Baixa caloria,Equilibrado
215, Laranja pêra suco,91.3,33.0,137.0,0.7,0.1,76.5,7.6,2.2,0.3,7.0,8.0,3,Leves / Baixa caloria,Equilibrado
217, Laranja valência suco,90.5,36.0,151.0,0.5,0.1,76.5,8.6,0.4,0.3,9.0,10.0,3,Leves / Baixa caloria,Equilibrado
218, Limão cravo suco,94.2,14.0,59.0,0.3,5.8,76.5,5.2,2.2,0.2,10.0,9.0,3,Leves / Baixa caloria,Equilibrado
219, Limão galego suco,91.8,22.0,93.0,0.6,0.1,76.5,7.3,2.2,0.3,5.0,6.0,3,Leves / Baixa caloria,Equilibrado
224, Mamão doce em calda drenado,45.5,196.0,819.0,0.2,0.1,76.5,54.0,1.3,0.2,20.0,6.0,3,Leves / Baixa caloria,Equilibrado
227, Mamão verde doce em calda drenado,41.9,209.0,876.0,0.3,0.1,76.5,57.6,1.2,0.1,12.0,5.0,1,Alta Energia/Carbo,Equilibrado
230, Manga polpa congelada,86.5,48.0,202.0,0.4,0.2,76.5,12.5,1.1,0.4,7.0,9.0,3,Leves / Baixa caloria,Equilibrado
233, Maracujá polpa congelada,88.9,39.0,162.0,0.8,0.2,76.5,9.6,0.5,0.5,5.0,10.0,3,Leves / Baixa caloria,Equilibrado
234, Maracujá suco concentrado envasado,88.9,42.0,176.0,0.8,0.2,76.5,9.6,0.4,0.5,4.0,4.0,3,Leves / Baixa caloria,Equilibrado
245, Pêssego enlatado em calda,82.2,63.0,264.0,0.7,5.8,76.5,16.9,1.0,0.2,4.0,4.0,3,Leves / Baixa caloria,Equilibrado
248, Pitanga polpa congelada,94.6,19.0,80.0,0.3,0.1,76.5,4.8,0.7,0.3,8.0,6.0,3,Leves / Baixa caloria,Equilibrado
252, Tangerina Poncã suco,90.4,36.0,151.0,0.5,5.8,76.5,8.8,2.2,0.3,4.0,6.0,3,Leves / Baixa caloria,Equilibrado
255, Umbu polpa congelada,90.2,34.0,142.0,0.5,0.1,76.5,8.8,1.3,0.4,11.0,8.0,3,Leves / Baixa caloria,Equilibrado
258, Uva suco concentrado envasado,85.1,58.0,241.0,7.0,5.8,76.5,14.7,0.2,0.2,9.0,7.0,3,Leves / Baixa caloria,Equilibrado
259, Azeite de dendê,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
260, Azeite de oliva extra virgem,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
261, Manteiga com sal,15.8,726.0,3037.0,0.4,82.4,201.0,0.1,2.2,1.4,9.0,1.0,1,Alta Energia/Carbo,Equilibrado
262, Manteiga sem sal,13.6,758.0,3170.0,0.4,86.0,214.0,0.0,2.2,0.1,4.0,1.0,1,Alta Energia/Carbo,Equilibrado
263, Margarina com óleo hidrogenado com sal (65% de lipídeos),32.2,596.0,2494.0,7.0,67.4,76.5,0.0,2.2,1.9,6.0,1.0,1,Alta Energia/Carbo,Equilibrado
264, Margarina com óleo hidrogenado sem sal (80% de lipídeos),19.6,723.0,3023.0,7.0,81.7,76.5,0.0,2.2,0.2,3.0,1.0,1,Alta Energia/Carbo,Equilibrado
265, Margarina com óleo interesterificado com sal (65%de lipídeos),32.0,594.0,2487.0,7.0,67.2,76.5,0.0,2.2,1.2,5.0,1.0,1,Alta Energia/Carbo,Equilibrado
266, Margarina com óleo interesterificado sem sal (65% de lipídeos),33.4,593.0,2482.0,7.0,67.1,76.5,0.0,2.2,0.1,5.0,1.0,1,Alta Energia/Carbo,Equilibrado
267, Óleo de babaçu,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
268, Óleo de canola,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
269, Óleo de girassol,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
270, Óleo de milho,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
271, Óleo de pequi,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
272, Óleo de soja,59.6,884.0,3699.0,7.0,100.0,76.5,9.4,2.2,1.1,19.0,17.0,1,Alta Energia/Carbo,Equilibrado
273, Abadejo filé congelado assado,74.3,112.0,467.0,23.5,1.2,103.0,0.0,2.2,1.6,23.0,20.0,0,Proteinas,Equilibrado
274, Abadejo filé congelado.cozido,79.7,91.0,381.0,19.3,0.9,87.0,0.0,2.2,0.9,17.0,16.0,0,Proteinas,Equilibrado
276, Abadejo filé congelado grelhado,71.0,130.0,542.0,27.6,1.3,136.0,0.0,2.2,1.6,20.0,22.0,0,Proteinas,Equilibrado
277, Atum conserva em óleo,64.5,166.0,694.0,26.2,6.0,53.0,0.0,2.2,1.5,7.0,29.0,0,Proteinas,Equilibrado
280, Bacalhau salgado refogado,65.9,140.0,584.0,24.0,3.6,112.0,1.2,2.2,5.3,59.0,15.0,0,Proteinas,Equilibrado
281, Cação posta com farinha de trigo frita,60.6,208.0,872.0,25.0,10.0,75.0,3.1,0.5,1.4,30.0,26.0,0,Proteinas,Equilibrado
282, Cação posta cozida,75.9,116.0,485.0,25.6,0.7,83.0,0.0,2.2,1.2,10.0,21.0,0,Proteinas,Equilibrado
284, Camarão Rio Grande grande cozido,78.7,90.0,377.0,19.0,1.0,241.0,0.0,2.2,1.7,90.0,19.0,0,Proteinas,Equilibrado
286, Camarão Sete Barbas sem cabeça com casca frito,61.0,231.0,968.0,18.4,15.6,283.0,2.9,2.2,2.1,960.0,74.0,0,Proteinas,Equilibrado
287, Caranguejo cozido,77.0,83.0,346.0,18.5,0.4,85.0,0.0,2.2,3.5,357.0,52.0,0,Proteinas,Equilibrado
289, Corimbatá assado,59.9,261.0,1094.0,19.9,19.6,80.0,0.0,2.2,1.0,22.0,24.0,0,Proteinas,Ganho de Massa Muscular
290, Corimbatá cozido,64.6,239.0,999.0,20.1,16.9,75.0,0.0,2.2,0.8,65.0,23.0,0,Proteinas,Ganho de Massa Muscular
293, Corvina grande assada,69.0,147.0,613.0,26.8,3.6,117.0,0.0,2.2,1.3,60.0,24.0,0,Proteinas,Equilibrado
294, Corvina grande cozida,73.6,100.0,419.0,23.4,2.6,123.0,0.0,2.2,0.9,69.0,22.0,0,Proteinas,Equilibrado
295, Dourada de água doce fresca,76.2,131.0,549.0,18.8,5.6,52.0,0.0,2.2,1.1,12.0,26.0,0,Proteinas,Equilibrado
297, Lambari congelado frito,40.1,327.0,1368.0,28.4,22.8,246.0,0.0,2.2,6.2,1881.0,66.0,0,Proteinas,Ganho de Massa Muscular
299, Manjuba com farinha de trigo frita,41.3,344.0,1437.0,23.5,22.6,282.0,10.2,0.4,2.4,763.0,47.0,0,Proteinas,Ganho de Massa Muscular
300, Manjuba frita,40.7,349.0,1462.0,30.1,24.5,270.0,0.0,2.2,4.2,575.0,32.0,0,Proteinas,Ganho de Massa Muscular
301, Merluza filé assado,70.7,122.0,510.0,26.6,0.9,91.0,0.0,2.2,1.2,36.0,20.0,0,Proteinas,Equilibrado
303, Merluza filé frito,63.5,192.0,802.0,26.9,8.5,109.0,0.0,2.2,1.5,36.0,38.0,0,Proteinas,Equilibrado
305, Pescada branca frita,57.0,223.0,933.0,27.4,11.8,165.0,0.0,2.2,3.2,378.0,30.0,0,Proteinas,Equilibrado
306, Pescada filé com farinha de trigo frito,53.2,283.0,1186.0,21.4,19.1,73.0,5.0,2.2,1.2,26.0,28.0,0,Proteinas,Ganho de Massa Muscular
308, Pescada filé frito,66.8,154.0,645.0,28.6,3.6,81.0,0.0,2.2,1.7,10.0,21.0,0,Proteinas,Equilibrado
309, Pescada filé molho escabeche,74.5,142.0,594.0,11.8,8.0,43.0,5.0,0.8,0.7,20.0,18.0,3,Leves / Baixa caloria,Equilibrado
311, Pintado assado,57.0,192.0,801.0,36.5,4.0,126.0,0.0,2.2,2.0,114.0,42.0,0,Proteinas,Equilibrado
313, Pintado grelhado,65.5,152.0,637.0,30.8,2.3,99.0,0.0,2.2,1.6,69.0,27.0,0,Proteinas,Equilibrado
315, Salmão filé com pele fresco  grelhado,60.9,229.0,957.0,23.9,14.0,85.0,0.0,2.2,1.3,29.0,28.0,0,Proteinas,Equilibrado
317, Salmão sem pele fresco grelhado,58.1,243.0,1015.0,26.1,14.5,73.0,0.0,2.2,1.6,15.0,38.0,0,Proteinas,Ganho de Massa Muscular
318, Sardinha assada,60.1,164.0,688.0,32.2,3.0,109.0,0.0,2.2,4.4,438.0,51.0,0,Proteinas,Equilibrado
319, Sardinha conserva em óleo,55.1,285.0,1192.0,15.9,24.0,73.0,0.0,2.2,2.9,550.0,35.0,0,Proteinas,Ganho de Massa Muscular
320, Sardinha frita,48.5,257.0,1075.0,33.4,12.7,103.0,0.0,2.2,4.3,482.0,39.0,0,Proteinas,Ganho de Massa Muscular
323, Apresuntado,73.7,129.0,539.0,13.5,6.7,38.0,2.9,2.2,3.3,23.0,15.0,3,Leves / Baixa caloria,Equilibrado
324, Caldo de carne tablete,2.9,241.0,1007.0,7.8,16.6,76.5,15.1,0.6,57.6,129.0,22.0,3,Leves / Baixa caloria,Equilibrado
325, Caldo de galinha tablete,3.4,251.0,1052.0,6.3,20.4,2.0,10.6,11.8,59.3,16.0,13.0,2,Alimentos em Fibras,Diabetes
326, Carne bovina acém moído cozido,61.6,212.0,889.0,26.7,10.9,103.0,0.0,2.2,0.8,4.0,17.0,0,Proteinas,Equilibrado
328, Carne bovina acém sem gordura cozido,60.4,215.0,898.0,27.3,10.9,107.0,0.0,2.2,0.8,7.0,14.0,0,Proteinas,Equilibrado
331, Carne bovina almôndegas fritas,48.1,272.0,1137.0,18.2,15.8,36.0,14.3,2.2,3.7,27.0,48.0,0,Proteinas,Ganho de Massa Muscular
332, Carne bovina bucho cozido,74.1,133.0,557.0,21.6,4.5,245.0,0.0,2.2,0.3,13.0,7.0,0,Proteinas,Equilibrado
335, Carne bovina capa de contra-filé com gordura grelhada,47.9,312.0,1304.0,30.7,20.0,120.0,0.0,2.2,1.1,7.0,18.0,0,Proteinas,Ganho de Massa Muscular
337, Carne bovina capa de contra-filé sem gordura grelhada,53.7,239.0,1002.0,35.1,10.0,80.0,0.0,2.2,1.3,9.0,26.0,0,Proteinas,Ganho de Massa Muscular
